Date,Open,High,Low,Close,Volume
2022.01.02T22:00,16419.7,16526.0,16310.6,16512.8,209249
2022.01.03T22:00,16516.0,16579.2,16155.8,16276.6,255990
2022.01.04T22:00,16278.4,16283.4,15768.0,15768.6,396027
2022.01.05T22:00,15779.4,15910.6,15614.2,15808.3,629752
2022.01.06T22:00,15826.0,15867.8,15525.2,15586.6,449885
2022.01.09T22:00,15605.3,15683.6,15167.6,15631.6,559798
2022.01.10T22:00,15638.0,15853.6,15490.2,15840.0,502317
2022.01.11T22:00,15841.7,16024.2,15777.4,15911.4,377613
2022.01.12T22:00,15909.8,15994.0,15473.4,15515.6,417687
2022.01.13T22:00,15524.2,15634.7,15327.6,15633.0,648093
2022.01.16T22:00,15656.9,15661.0,15522.6,15572.9,187224
2022.01.17T22:00,15598.4,15617.6,15185.8,15254.8,634822
2022.01.18T22:00,15259.8,15386.4,15026.6,15049.8,697868
2022.01.19T22:00,15057.8,15355.0,14661.8,14736.8,645058
2022.01.20T22:00,14741.0,14873.0,14423.5,14426.6,1444876
2022.01.23T22:00,14420.0,14595.0,13721.2,14532.6,1595942
2022.01.24T22:00,14501.3,14514.2,13905.5,13937.9,1640137
2022.01.25T22:00,13976.5,14654.8,13974.8,14167.0,1396706
2022.01.26T22:00,14224.9,14424.0,13860.7,14125.6,1701983
2022.01.27T22:00,14190.0,14455.2,13844.8,14444.2,1475367
2022.01.30T22:00,14473.9,14928.2,14367.0,14880.8,739869
2022.01.31T22:00,14878.9,15150.0,14742.6,15130.0,754040
2022.02.01T22:00,15136.8,15273.2,14840.2,14875.1,794406
2022.02.02T22:00,14853.0,14882.6,14469.6,14814.8,739252
2022.02.03T22:00,14775.0,14834.4,14372.4,14651.8,924919
2022.02.06T22:00,14684.4,14814.6,14520.2,14609.6,718343
2022.02.07T22:00,14609.6,14784.4,14476.8,14754.4,542423
2022.02.08T22:00,14759.1,15075.8,14749.8,15061.4,311207
2022.02.09T22:00,15063.7,15064.2,14628.6,14702.2,874265
2022.02.10T22:00,14703.0,14772.8,14187.6,14263.6,1052617
2022.02.13T22:00,14251.2,14398.6,14035.5,14263.6,1255197
2022.02.14,22:00,14267.8,14619.2,14228.4,14587.9,559006
2022.02.15,22:00,14587.1,14670.2,14383.2,14595.6,540538
2022.02.16,22:00,14593.1,14620.6,14135.4,14156.8,557286
2022.02.17,22:00,14154.6,14299.4,13907.4,13994.9,697629
2022.02.20,22:00,13944.6,14158.2,13717.4,13734.5,518130
2022.02.21,22:00,13609.6,14109.4,13582.4,13921.8,1043248
2022.02.22,22:00,13927.0,14069.4,13472.8,13485.8,626311
2022.02.23,22:00,13487.7,13982.0,13024.4,13911.6,1806248
2022.02.24,22:00,13907.3,14194.6,13759.2,14184.3,1041076
2022.02.27,22:00,13719.7,14290.2,13673.4,14217.0,1031402
2022.02.28,22:00,14210.5,14325.1,13898.8,14023.6,1020017
2022.03.01,22:00,14015.7,14287.4,13909.2,14193.6,933817
2022.03.02,22:00,14188.5,14386.8,13951.6,14057.0,700920
2022.03.03,22:00,14062.8,14082.2,13730.2,13796.5,895524
2022.03.06,22:00,13725.6,13875.1,13261.2,13267.8,956877
2022.03.07,22:00,13257.2,13661.7,13100.2,13196.6,1363429
2022.03.08,22:00,13194.0,13817.3,13188.4,13771.0,954322
2022.03.09,22:00,13760.2,13770.9,13391.2,13568.0,944613
2022.03.10,22:00,13564.6,13855.0,13277.0,13300.5,595573
2022.03.13,21:00,13363.6,13438.2,13009.6,13074.4,610333
2022.03.14,21:00,13072.2,13481.4,12937.0,13437.6,545118
2022.03.15,21:00,13444.0,14020.6,13412.8,13993.2,788489
2022.03.16,21:00,13978.8,14127.0,13814.0,14048.8,778042
2022.03.17,21:00,14049.0,14436.6,13962.4,14430.8,536495
2022.03.20,21:00,14396.9,14460.0,14177.4,14386.6,589171
2022.03.21,21:00,14382.3,14683.8,14286.6,14647.6,406738
2022.03.22,21:00,14639.0,14675.2,14434.6,14456.6,428253
2022.03.23,21:00,14452.7,14762.8,14427.0,14755.2,479491
2022.03.24,21:00,14759.0,14833.6,14566.0,14743.2,432232
2022.03.27,21:00,14735.0,14989.6,14652.0,14975.0,507500
2022.03.28,21:00,14971.0,15261.8,14949.8,15217.0,490352
2022.03.29,21:00,15214.7,15254.6,15011.4,15110.6,420469
2022.03.30,21:00,15106.4,15183.6,14860.4,14922.2,401463
2022.03.31,21:00,14918.6,14963.6,14729.8,14857.2,429671
2022.04.03,21:00,14851.1,15180.0,14806.0,15163.8,264948
2022.04.04,21:00,15157.2,15201.0,14784.0,14863.8,304257
2022.04.05,21:00,14862.2,14862.4,14399.6,14498.2,586602
2022.04.06,21:00,14500.8,14637.6,14322.5,14538.8,569526
2022.04.07,21:00,14540.0,14645.4,14313.8,14333.0,397675
2022.04.10,21:00,14354.2,14374.4,13988.0,14006.8,571517
2022.04.11,21:00,14015.0,14287.2,13884.6,13957.0,594683
